Aabenraa (DK), Verband Deutscher Büchereien Nordschleswig
Grenzach-Wyhlen, Gemeindebücherei
Greven, Stadtbibliothek
Grimma, Stadtbibliothek
Grono (CH), Biblioteca publica e da scola
Großostheim, Gemeindebücherei
Grüsch (CH), Bibliothek Rosengarten
Güglingen, Mediothek
Gütersloh, Stadtbibliothek GmbH
Gummersbach, Kreis- und Stadtbücherei
Gundelfingen, Mediathek
Gunzenhausen, Stadt- und Schulbücherei
Haan, Stadtbücherei
Haigerloch, Stadtbücherei
Haigerloch-Owingen, Owinger Bücherei
Halstenbek, Gemeindebücherei
Haltern, Bibliotheksverbund Recklinghausen Marl Haltern
Hamburg, Bücherhallen
Hamburg, Schulbibliotheken
Hameln, Stadtbücherei
Hamm, Stadtbüchereien
Hammelburg, FindUthek Stadtbibliothek
Hanau, Stadtbibliothek
Hannover, Gottfried Wilhelm Leibniz Bibliothek
Hannover, Stadtbibliothek
Haslach, Stadtbücherei
Hechingen, Stadtbücherei
Heddesheim, Gemeindebücherei
Heidelberg, Stadtbücherei
Heidelberg, Universitätsbibliothek
Heidenheim, Stadtbibliothek
Heilbronn, Stadtbibliothek
Hennef, Stadtbibliothek
Henstedt-Ulzburg, Gemeindebücherei
Herborn, IMeNS, Lahn-Dill-Kreis
Herborn, Stadtbücherei
Herne, Stadtbibliothek
Herrenberg, Stadtbibliothek
Herten, Stadtbibliothek
Herzberg (Elster), Stadt Herzberg (Elster) Bibliothek
Hiddenhausen, Gemeindebücherei
Hilden, Stadtbücherei
Hockenheim, Stadtbibliothek
Höchberg, FindUthek Gemeindebibliothek
Hösbach, FindUthek Bibliotheks- und Informationszentrum
Holzgerlingen, Stadtbücherei
Hong Kong (TJ), DEUTSCH-SCHWEIZERISCHE INTERNATIONALE SCHULE
Hoyerswerda, Brigitte-Reimann- Stadtbibliothek
Husum, Stadtbibliothek
Ibbenbüren, Stadtbücherei
Idstein, Stadtbücherei
Iffezheim, Iffothek Medienhaus
Ilanz (CH), Schul- und Gemeindebibliothek
Ingelheim, Stadtbücherei
Ingolstadt, Stadtbücherei
Iserlohn, Stadtbücherei
Isny, Stadtbücherei
Itzehoe, Stadtbibliothek
Kaltenkirchen, Stadtbücherei
Kamenz, Stadtbibliothek
Kamp-Lintfort, Stadtbücherei
Karlsbad, Gemeindebücherei
Karlsfeld, Gemeindebücherei
Karlsruhe, Badische Landesbibliothek
Karlsruhe, KIT-Bibliothek
Karlsruhe, Pädagogische Hochschule
Karlsruhe, Stadtbibliothek
Karlstadt, FindUthek Stadtbibliothek
Karlstein, FindUthek Gemeindebibliothek
Kehl, Mediathek
Kellinghusen, Stadtbücherei
Kempen, Stadtbibliothek
Kempten, Stadtbibliothek
Kerpen, Stadtbücherei
Ketsch, Gemeindebücherei
Kiel, Stadtbücherei
Kierspe, Stadtbibliothek
Kirchardt, Gemeindebücherei
Kirchheim unter Teck, Stadtbücherei
Kirchzarten, Öffentliche Bibliothek
Kitzingen, FindUthek Stadtbücherei
Kleinmachnow, Bibliothek
Kleve, Stadtbücherei
Kloster Lehnin, Bibliothek Kloster Lehnin
Kloster Lehnin, Medienzentrum Potsdam-Mittelmark
Klosters (CH), Gemeindebibliothek Klosters-Serneus
Köln, Stadtbibliothek
Königstein, Stadtbibliothek
Konstanz, Stadtbücherei
Konstanz, Universität Bibliothek/Team M
Krefeld, Mediothek
Kressbronn, Gemeindebücherei am Rathausplatz
Küblis (CH), Mediothek Mittelprättigau
Laax (CH), Biblioteca Casa de Mont
Ladenburg, Stadtbibliothek
Laichingen, Stadtbücherei
Lampertheim, Stadtbücherei
Landau, Stadtbibliothek
Landquart (CH), Bibliothek Landquart und Umgebung
Landshut, Stadtbücherei
Langenargen, Bücherei im Münzhof
Langenfeld, Stadtbibliothek
Laudenbach, Gemeindebücherei
Lauenburg, Stadt- und Schulbücherei
Laupheim, Stadtbibliothek
Lausanne, HES-SO - Haute École Spécialisée de Suisse occidentale
Leipzig, Hochschule für Musik und Theater
Leipzig, Leipziger Städtische Bibliotheken
Lenzerheide (CH), Schul- und Gemeindebibliothek Obervaz/ Lenzerheide
Leonberg, Stadtbücherei
Leutkirch, Stadtbibliothek
Liestal (CH), Kantonsbibliothek Baselland
Limburg, Dombibliothek
Löbau, Stadtbibliothek
Löffingen, Stadtbücherei
Lohr, FindUthek Stadtbibliothek
Ludwigsburg, Pädagogische Hochschule KIZ - Abteilung Bibliothek
Ludwigsburg, Stadtbibliothek
