UID,Bundesland,Stadt,Stadtbibliothek,Verbundlink,VB,,Kinderbibliothek,Jugendbibliothek,Schule & Lernen,Sachmedien & Ratgeber,Belletristik & Unterhaltung,Englische Bücher,Musik,Video,Medien2019,Medien2016/17,Stand,Stadt y Lat,Stadt x Long,Anschr,Tel,Web
1,Sachsen-Anhalt,Aschersleben,Aschersleben (Kreisbibliothek Aschersleben),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7591297","11,4619062",undef,undef,undef
2,Sachsen-Anhalt,Ballenstedt,Ballenstedt (Fürstin-Pauline-Bibliothek),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7203214","11,2383073",undef,undef,undef
3,Sachsen-Anhalt,Bernburg,Bernburg (Stadtbibliothek Bernburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7833579","11,7537327",undef,undef,undef
4,Sachsen-Anhalt,Bitterfeld-Wolfen,Bitterfeld-Wolfen (Stadtbibliothek Bitterfeld-Wolfen),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,6245997","12,3079926",undef,undef,undef
5,Sachsen-Anhalt,Braunsbedra,Braunsbedra (Stadtbibliothek Braunsbedra),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,2859413","11,8900785",undef,undef,undef
6,Sachsen-Anhalt,Burg,"Burg (Stadtbibliothek ""Brigitte Reimann"")",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,2709013","11,8553502",undef,undef,undef
7,Sachsen-Anhalt,Coswig,Coswig (Anhalt) (Stadtbibliothek Coswig (Anhalt)),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,885712","12,457511",undef,undef,undef
8,Sachsen-Anhalt,Dessau-Roßlau,Dessau-Roßlau (Anhaltische Landesbücherei Dessau),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8428278","12,2303935",undef,undef,undef
9,Sachsen-Anhalt,Eisleben,Eisleben (Regionales Medienzentrum),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,5195173","11,5576749",undef,undef,undef
10,Sachsen-Anhalt,Gardelegen,"Gardelegen (Stadt-, Kreis- und Gymnasialbibliothek Gardelegen)",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,5268376","11,4018356",undef,undef,undef
11,Sachsen-Anhalt,Genthin,Genthin (Stadt- u. Kreisbibliothek Genthin),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,4006218","12,1601527",undef,undef,undef
12,Sachsen-Anhalt,Halberstadt,"Halberstadt (Stadtbibliothek ""Heinrich Heine"")",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8948709","11,0496159",undef,undef,undef
13,Sachsen-Anhalt,Haldensleben,Haldensleben (Stadt- u. Kreisbibliothek Haldensleben),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,284424","11,4181494",undef,undef,undef
14,Sachsen-Anhalt,Halle,Halle (Stadtbibliothek Halle (Saale)),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,4969802","11,9688029",undef,undef,undef
15,Sachsen-Anhalt,Ilsenburg,Ilsenburg (Stadtbibliothek Ilsenburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8677998","10,6848786",undef,undef,undef
16,Sachsen-Anhalt,Klötze,Klötze (Stadt- und Kreisbibliothek Klötze),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,6276522","11,1639584",undef,undef,undef
17,Sachsen-Anhalt,Köthen,Köthen (Stadtbibliothek Köthen),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7505762","11,9802357",undef,undef,undef
18,Sachsen-Anhalt,Landsberg,Landsberg (Stadt- und Schulbibliothek Landsberg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,5290961","12,130071",undef,undef,undef
19,Sachsen-Anhalt,Magdeburg,Magdeburg (Stadtbibliothek Magdeburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,1157651","11,6232911",undef,undef,undef
20,Sachsen-Anhalt,Merseburg,Merseburg (Stadtbibliothek Merseburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,3563278","11,9917462",undef,undef,undef
21,Sachsen-Anhalt,Naumburg,Naumburg (Stadtbibliothek Naumburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,1512751","11,8047961",undef,undef,undef
22,Sachsen-Anhalt,Oschersleben,Oschersleben (Stadtbibliothek Oschersleben (Bode)),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,0266594","11,2269714",undef,undef,undef
23,Sachsen-Anhalt,Osterburg,Osterburg (Altmark) (Stadt- und Kreisbibliothek Osterburg-Stendal),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,796603","11,7590229",undef,undef,undef
24,Sachsen-Anhalt,Quedlinburg,Quedlinburg (Kreisbibliothek Quedlinburg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,7920562","11,141448",undef,undef,undef
25,Sachsen-Anhalt,Salzwedel,Salzwedel (Stadt- u. Kreisbibliothek Salzwedel),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,8503387","11,1646679",undef,undef,undef
26,Sachsen-Anhalt,Sangerhausen,Sangerhausen (Stadtbibliothek Sangerhausen),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,4725415","11,2995045",undef,undef,undef
27,Sachsen-Anhalt,Schönebeck,Schönebeck (Stadtbibliothek Schönebeck (Elbe)),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,0091435","11,7470481",undef,undef,undef
28,Sachsen-Anhalt,Staßfurt,"Staßfurt (Stadt- und Regionalbibliothek ""G.E.Lessing"")",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8608995","11,5790389",undef,undef,undef
29,Sachsen-Anhalt,Teutschenthal,Teutschenthal (Gemeindebücherei Teutschenthal),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,4477525","11,7980877",undef,undef,undef
30,Sachsen-Anhalt,Wanzleben,Wanzleben (Stadt- u. Kreisbibliothek Wanzleben),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,0609958","11,4428605",undef,undef,undef
31,Sachsen-Anhalt,Weißenfels,Weißenfels (Stadtbibliothek Weißenfels),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,1972771","11,9689146",undef,undef,undef
32,Sachsen-Anhalt,Wernigerode,Wernigerode (Stadtbibliothek Wernigerode),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8368113","10,7844266",undef,undef,undef
33,Sachsen-Anhalt,Wittenberg,Wittenberg (Stadtbibliothek Wittenberg),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,8739831","12,6279659",undef,undef,undef
34,Sachsen-Anhalt,Wolmirstedt,Wolmirstedt (Stadtbibliothek Wolmirstedt),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,2521368","11,629014",undef,undef,undef
35,Sachsen-Anhalt,Zeitz,"Zeitz (Stadtbibliothek ""Martin Luther"")",http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,0443266","12,1402795",undef,undef,undef
36,Sachsen-Anhalt,Zerbst/Anhalt,Zerbst/Anhalt (Stadtbibliothek Zerbst/Anhalt),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"51,9669481","12,0846211",undef,undef,undef
37,Sachsen-Anhalt,Zielitz,Zielitz (Bibliothek Zielitz / Rogätz),http://www.biblio24.de,biblio24,,4731,2572,3634,12815,18421,,,,42173,28644,15.10.2019,"52,3022253","11,6779694",undef,undef,undef
38,Bayern,Adlkofen,Adlkofen (Gemeindebücherei Adlkofen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,5447792","12,2611624",undef,undef,undef
39,Bayern,Ainring,Ainring (Gemeindebücherei Ainring),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,8145816","12,9415464",undef,undef,undef
40,Bayern,Allersberg,Allersberg (Gemeindebücherei Allersberg),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,2513132","11,2365846",undef,undef,undef
41,Bayern,Altenstadt,Altenstadt (Markt- und Pfarrbuecherei Altenstadt),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,160401","10,112073",undef,undef,undef
42,Bayern,Altusried,Altusried (Gemeindebücherei Altusried),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,8043878","10,2150696",undef,undef,undef
43,Bayern,Ampfing,Ampfing (Gemeindebücherei Ampfing),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,2540913","12,413184",undef,undef,undef
44,Bayern,Arnstein,Arnstein (Stadtbibliothek Arnstein),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,976772","9,9711794",undef,undef,undef
45,Bayern,Asbach-Bäumenheim,Asbach-Bäumenheim (Gemeindebücherei Asbach-Bäumenheim),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,6885231","10,8250383",undef,undef,undef
46,Bayern,Aschau a. Inn,Aschau a. Inn (Gemeindebücherei Aschau a. Inn),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,1972896","12,3486868",undef,undef,undef
47,Bayern,Augsburg,Augsburg (Schulbibliothek Stettensche Institut),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,3705449","10,89779",undef,undef,undef
48,Bayern,Aying,Aying (Gemeindebücherei Aying),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,9700209","11,7765993",undef,undef,undef
49,Bayern,Bad Königshofen,Bad Königshofen (Stadtbibliothek Bad Königshofen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"50,3013477","10,4662774",undef,undef,undef
50,Bayern,Barbing,Barbing (Gemeindebibliothek Barbing),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,0030512","12,1961912",undef,undef,undef
51,Bayern,Bechhofen,Bechhofen (Gemeindebücherei Bechhofen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,1599456","10,553214",undef,undef,undef
52,Bayern,Betzigau,Betzigau (Gemeindebücherei Betzigau),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,736042","10,381426",undef,undef,undef
53,Bayern,Bruck i. d. OPf.,Bruck i. d. OPf. (Marktbücherei Bruck i. d. OPf.),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,2463308","12,3064839",undef,undef,undef
54,Bayern,Brunnthal,Brunnthal (Gemeindebücherei Brunnthal),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,0066295","11,6841412",undef,undef,undef
55,Bayern,Bubenreuth,Bubenreuth (Gemeindebücherei Bubenreuth),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,6269937","11,0167038",undef,undef,undef
56,Bayern,Büchenbach,Büchenbach (Bücherei der Gemeinde Büchenbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,2645152","11,0532813",undef,undef,undef
57,Bayern,Burgau,Burgau (Stadtbücherei Burgau),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,430206","10,4107793",undef,undef,undef
58,Bayern,Burgheim,Burgheim (Gemeindebücherei Burgheim),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,7005919","11,016768",undef,undef,undef
59,Bayern,Burtenbach,Burtenbach (Gemeindebücherei Burtenbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,3394733","10,4481971",undef,undef,undef
60,Bayern,Egling a.d.Paar,Egling a.d.Paar (Gemeindebücherei Egling a.d.Paar),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,1862159","10,9771789",undef,undef,undef
61,Bayern,Eschenbach,Eschenbach (Stadtbibliothek Eschenbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,754469","11,8304178",undef,undef,undef
62,Bayern,Feldafing,Feldafing (Gemeindebücherei Feldafing),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,9463712","11,2889245",undef,undef,undef
63,Bayern,Finsing,Finsing (Gemeindebücherei Finsing),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,2161513","11,8244493",undef,undef,undef
64,Bayern,Floß,Floß (Gemeindebücherei Markt Floß),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,7267237","12,2778579",undef,undef,undef
65,Bayern,Forstern,Forstern (Gemeindebücherei Forstern),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,183464","11,9772726",undef,undef,undef
66,Bayern,Gemünden,Gemünden (Stadtbibliothek Gemünden a.Main),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"50,0494605","9,7059316",undef,undef,undef
67,Bayern,Georgensgmünd,Georgensgmünd (Büchereistadl Georgensgmünd),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,187862","11,0141433",undef,undef,undef
68,Bayern,Gilching,Gilching (Gemeindebücherei Gilching),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,1092285","11,2899694",undef,undef,undef
69,Bayern,Graben,Graben (Gemeindebücherei Graben),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,1885211","10,8227101",undef,undef,undef
70,Bayern,Hahnbach,Hahnbach (Bücherei des Marktes Hahnbach und der Gemeinde Gebenbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,5324805","11,7983553",undef,undef,undef
71,Bayern,Heilsbronn,Heilsbronn (Stadtbücherei Heilsbronn),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,3390745","10,7919753",undef,undef,undef
72,Bayern,Helmbrechts,Helmbrechts (Stadtbücherei Helmbrechts),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"50,2358872","11,7190245",undef,undef,undef
73,Bayern,Heroldsberg,Heroldsberg (Gemeindebücherei Heroldsberg),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,5323509","11,1540547",undef,undef,undef
74,Bayern,Hunderdorf,Hunderdorf (Gemeindebibliothek Hunderdorf-Neukirchen-Windberg),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,9406224","12,7268881",undef,undef,undef
75,Bayern,Igensdorf,Igensdorf (Marktbücherei Igensdorf),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,6232116","11,2315392",undef,undef,undef
76,Bayern,Kallmünz,Kallmünz (Schul- und Marktbibliothek Kallmünz),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,1602786","11,9597735",undef,undef,undef
77,Bayern,Kösching,Kösching (Gemeindebücherei Kösching),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,8110674","11,5010096",undef,undef,undef
78,Bayern,Langenzenn,Langenzenn (Stadtbücherei Langenzenn),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,4934643","10,7948829",undef,undef,undef
79,Bayern,Lauben,Lauben (Gemeindebücherei Lauben),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,7795638","10,2982544",undef,undef,undef
80,Bayern,Mantel,Mantel (Marktbibliothek Mantel),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,6538454","12,0428226",undef,undef,undef
81,Bayern,Marktbreit,Marktbreit (Stadtbücherei Marktbreit),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,6664618","10,142098",undef,undef,undef
82,Bayern,Mertingen,Mertingen (Gemeindebücherei Mertingen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,6571023","10,8058245",undef,undef,undef
83,Bayern,Moosthenning,Moosthenning (Gemeindebücherei Moosthenning),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,6765099","12,4977582",undef,undef,undef
84,Bayern,Nersingen,Nersingen (Jugendbücherei Nersingen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,4277615","10,1223891",undef,undef,undef
85,Bayern,Neuendettelsau,Neuendettelsau (Gemeindebücherei Neuendettelsau),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,2859611","10,7872985",undef,undef,undef
86,Bayern,Nüdlingen,Nüdlingen (Gemeindebücherei Nüdlingen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"50,220967","10,1240009",undef,undef,undef
87,Bayern,Oberstaufen,Oberstaufen (Gemeinde- und Gästebücherei Oberstaufen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,5570001","10,0205624",undef,undef,undef
88,Bayern,Oettingen,Oettingen (Stadtbibliothek Oettingen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,9517515","10,6021053",undef,undef,undef
89,Bayern,Ostheim vor der Rhön,Ostheim vor der Rhön (Stadtbücherei Ostheim vor der Rhön),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"50,4608058","10,2305055",undef,undef,undef
90,Bayern,Parsberg,Parsberg (Stadtbücherei Parsberg),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,1603469","11,7187275",undef,undef,undef
91,Bayern,Pentling,Pentling (Gemeindebücherei Pentling),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,9833268","12,0572285",undef,undef,undef
92,Bayern,Petersaurach,Petersaurach (Gemeindebücherei Petersaurach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,3069161","10,7461134",undef,undef,undef
93,Bayern,Pfronten-Berg,Pfronten-Berg (Bücherei im Heimathaus),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,5059388","10,523157",undef,undef,undef
94,Bayern,Pöcking,Pöcking (Bücherei im Alten Pfarrhaus),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,9664261","11,3000938",undef,undef,undef
95,Bayern,Pöttmes,Pöttmes (Marktbücherei Pöttmes),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,5832757","11,0946542",undef,undef,undef
96,Bayern,Postbauer-Heng,Postbauer-Heng (Marktbücherei Postbauer-Heng),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,3031242","11,3555156",undef,undef,undef
97,Bayern,Prittriching,Prittriching (Gemeindebücherei Prittriching),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,2040729","10,9283296",undef,undef,undef
98,Bayern,Putzbrunn,Putzbrunn (Gemeindebücherei Putzbrunn),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,0753743","11,7158225",undef,undef,undef
99,Bayern,Rain,Rain (Stadtbücherei Rain),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,6901541","10,9208893",undef,undef,undef
100,Bayern,Reichertshausen,Reichertshausen (Gemeindebücherei Reichertshausen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,4661958","11,5077709",undef,undef,undef
101,Bayern,Röthlein,Röthlein (Gemeindebücherei Röthlein),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,9850727","10,2181693",undef,undef,undef
102,Bayern,Röttenbach,Röttenbach (Gemeindebücherei Röttenbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,668294","10,9244766",undef,undef,undef
103,Bayern,Röttingen,Röttingen (Stadtbibliothek Röttingen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,5122355","9,9718105",undef,undef,undef
104,Bayern,Rötz,Rötz (Stadtbücherei Rötz),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,3440364","12,5288776",undef,undef,undef
105,Bayern,Roßtal,Roßtal (Bücherei Markt Roßtal),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"49,3989517","10,8862355",undef,undef,undef
106,Bayern,Schäftlarn,Schäftlarn (Gemeindebücherei Schäftlarn),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,990305","11,4573424",undef,undef,undef
107,Bayern,Scheidegg,Scheidegg (Gemeindebücherei Scheidegg),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,582677","9,849273",undef,undef,undef
108,Bayern,Schönau am Königssee,Schönau am Königssee (Gemeindebücherei Schönau am Königssee),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,5251713","12,9483501",undef,undef,undef
109,Bayern,Schondorf,Schondorf (Gemeindebücherei Schondorf),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,0487788","11,0908074",undef,undef,undef
110,Bayern,Seeon,Seeon (Gemeindebücherei Seeon-Seebruck),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,9757962","12,4611214",undef,undef,undef
111,Bayern,Steinach,Steinach (Gemeindebücherei Steinach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,955536","12,613256",undef,undef,undef
112,Bayern,Tacherting,Tacherting (Gemeindebücherei Tacherting),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,0788033","12,5696388",undef,undef,undef
113,Bayern,Tapfheim,Tapfheim (Gemeindebücherei Tapfheim),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,6736819","10,6853639",undef,undef,undef
114,Bayern,Thannhausen,Thannhausen (Stadtbücherei Thannhausen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,2813692","10,4674946",undef,undef,undef
115,Bayern,Tutzing,Tutzing (Gemeindebücherei Tutzing),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"47,9125117","11,2772666",undef,undef,undef
116,Bayern,Untermeitingen,Untermeitingen (Gemeindebücherei Untermeitingen),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,1622916","10,8115479",undef,undef,undef
117,Bayern,Untermerzbach,Untermerzbach (KOMM Untermerzbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"50,1271283","10,8557936",undef,undef,undef
118,Bayern,Ustersbach,Ustersbach (Gemeindebücherei Ustersbach),http://www2.onleihe.de/emedienbayern/,emedienbayern,,2388,2007,134,6684,9515,,,,20728,11089,15.10.2019,"48,3158123","10,6438357",undef,undef,undef
